Method,Train seed,Budget,NFE,KID,FID,Checkpoint SHA
sigmoid,0,64,1,0.4878055155277252,429.5904741914846,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f
sigmoid,0,64,2,0.4059482514858246,364.87099871412147,514b67696ca911ccdd9e16c5cce93d91e2c2c77433a82a2c2b8c0ae0b410dc9f
adaptive_v1,0,64,1,0.48724865913391113,429.7458044055775,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
adaptive_v1,0,64,2,0.4068980813026428,365.5074929430672,dc5fdcac27f49e845eae1d28571cd0c3be6756aa6aee785e3189c1c27f527aa3
sigmoid,1,64,1,0.4751233458518982,418.23088510630885,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9
sigmoid,1,64,2,0.28407230973243713,270.97941291841283,bb98925649c0267064210a069887ae9b5dd3eff26727651318818ac2d46c09f9
adaptive_v1,1,64,1,0.4754484295845032,418.42141522198887,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
adaptive_v1,1,64,2,0.27491092681884766,263.31739343516506,c1eaef2c89c1365aa5c3e5b65c8522152468bf213923004c299ac6a058fddbdf
sigmoid,2,64,1,0.5190601348876953,437.3195436021108,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925
sigmoid,2,64,2,0.428162544965744,377.60478135599294,73c5b0c7b3e5130a76f80d26cb30e6969d049d941ac0e6568ee16f7c1d5bc925
adaptive_v1,2,64,1,0.5199764966964722,437.9850438086264,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
adaptive_v1,2,64,2,0.4338109493255615,380.97130757057425,3f3b4a69dec396d4af1010c6c26323d442e64b60fd3c7b354c4820c60aae1157
