Method,Train seed,Budget,NFE,KID,FID,Checkpoint SHA
sigmoid,0,16,1,0.5911149978637695,483.6696420342726,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed
sigmoid,0,16,2,0.24365437030792236,238.35642663442655,32aa4661584663c40bc05a3b5c5bef3bd4e8b60e289023d491fbe46fac5478ed
adaptive_v1,0,16,1,0.5948042273521423,484.78286903856355,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
adaptive_v1,0,16,2,0.2451242357492447,239.5964191589499,7d162808dc98deec28d269693cba4242b97e52d8431017fe9e45a54a8c3d151a
sigmoid,1,16,1,0.4374769330024719,381.84189640961847,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec
sigmoid,1,16,2,0.2847936749458313,278.5354496890211,3ffd271c99a3d09bc63c749f5b69f76af37bbbec54678e88885eb3341750e7ec
adaptive_v1,1,16,1,0.4278477430343628,375.53195760880396,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
adaptive_v1,1,16,2,0.28532806038856506,278.94094193957403,b7bc291a80298121c091945519d79f1f8c79deb318b4790e2d7371a1510b7a13
sigmoid,2,16,1,0.567756175994873,475.8780162559483,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865
sigmoid,2,16,2,0.3588750958442688,330.29187425815263,3fed09e540f8419db32bac9c1fdfe93033aaad225198ecc2bbce4eccf26b5865
adaptive_v1,2,16,1,0.5735194087028503,478.2201833557063,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
adaptive_v1,2,16,2,0.36032578349113464,331.1610005332725,b04098a8d53449b3d2666f87b8d63e6f16ba11d6c2a5069c1d81d33d995f1d43
